SampleNumber,CTime,Duration,EnergyData
633,57.19712,90,1230.4
634,57.28764,90.52,1294.7
635,57.37796,90.31,1277.9
636,57.46812,90.16,1216.1
637,57.55817,90.05,1242
638,57.64824,90.08,1247.6
639,57.73852,90.27,1216.3
640,57.82864,90.13,1301.9
641,57.91866,90.02,1244.4
642,58.00979,91.13,1206.2
643,58.10052,90.73,1291.3
644,58.19128,90.76,1219.6
645,58.28202,90.75,1287.8
646,58.37248,90.46,1439.1
647,58.46251,90.02,1251.6
648,58.55255,90.04,1232.9
649,58.64259,90.04,1193.6
650,58.73284,90.25,1355.6
651,58.82284,90,1281.3
652,58.91336,90.53,1270.1
653,59.00415,90.79,1224.3
654,59.09487,90.72,1328
655,59.18563,90.76,1191.7
656,59.27563,90,1218.6
657,59.36569,90.06,1245.1
658,59.45644,90.75,1244.9
659,59.54645,90.01,1224.9
660,59.63647,90.02,1203.7
661,59.72771,91.24,1236
662,59.8185,90.79,1298.3
663,59.90923,90.73,1263.1
664,60.00098,91.75,1237.2
665,60.091,90.02,1386.5
666,60.18153,90.53,1286.4
667,60.27203,90.5,1232.8
668,60.36208,90.06,1239.3
669,60.45249,90.41,1323.4
670,60.54249,90,1207.1
671,60.63256,90.06,1369.1
672,60.72256,90,1230.3
673,60.81259,90.03,1247.3
674,60.90314,90.56,1335.8
675,60.99471,91.56,1242.4
676,61.08481,90.1,1488.8
677,61.17519,90.38,1229.7
678,61.26592,90.73,1302.7
679,61.35592,90,1252.2
680,61.44646,90.54,1320.7
681,61.53822,91.75,1220.9
682,61.62898,90.76,1278
683,61.7197,90.73,1284.9
684,61.80976,90.06,1222.5
685,61.90031,90.55,1197.3
686,61.99204,91.73,1283.3
687,62.08205,90.01,1240.6
688,62.17249,90.44,1254.9
689,62.26252,90.04,1190.9
690,62.35253,90,1256.5
691,62.44256,90.04,1244.1
692,62.53259,90.03,1314
693,62.62347,90.88,1280.2
694,62.71349,90.02,1232.1
695,62.80399,90.49,1232.3
696,62.89474,90.76,1235.6
697,62.98476,90.02,1262.6
698,63.07476,90,1363.4
699,63.16505,90.29,1281.4
700,63.25585,90.79,1230.1
701,63.34654,90.69,1238.2
702,63.4373,90.76,1266.7
703,63.52809,90.79,1297.7
704,63.6194,91.31,1286.7
705,63.71116,91.76,1246.9
706,63.80143,90.27,1202.8
707,63.89174,90.31,1217.2
708,63.98247,90.73,1193.5
709,64.07247,90,1223.3
710,64.16254,90.06,1301.7
711,64.2526,90.06,1266.4
712,64.34261,90.01,1278.7
713,64.43261,90,1237.5
714,64.52263,90.02,1273.1
715,64.61281,90.18,1273
716,64.70358,90.76,1211.2
717,64.79373,90.16,1324.7
718,64.88412,90.4,1312.8
719,64.97499,90.86,1214.4
720,65.06507,90.08,1286.7
721,65.15605,90.98,1261.8
722,65.24694,90.9,1203
723,65.33696,90.01,1241.9
724,65.42765,90.69,1270.7
725,65.51942,91.77,1206.5
726,65.61127,91.86,1336
727,65.70226,90.98,1230.3
728,65.79227,90.02,1203.4
729,65.88251,90.24,1219.2
730,65.97255,90.04,1194.9
731,66.06255,90,1281.7
732,66.15255,90,1376.9
733,66.24261,90.05,1250
734,66.33263,90.02,1316.5
735,66.42429,91.66,1270.9
736,66.51604,91.75,1233.5
737,66.60791,91.87,1503.2
738,66.69793,90.01,1195.4
739,66.78854,90.62,1344.4
740,66.8793,90.75,1707.2
741,66.9697,90.4,1376.6
742,67.05982,90.13,1233.5
743,67.1506,90.79,1273.6
744,67.24133,90.72,1202.8
745,67.33212,90.78,1220.9
746,67.42252,90.4,1234.9
747,67.51254,90.03,1202.5
748,67.60258,90.04,1418.2
749,67.69261,90.03,1346.9
750,67.78262,90,1266.1
751,67.87321,90.61,1198.8
752,67.96323,90.01,1259.3
753,68.05351,90.29,1219.8
754,68.14381,90.3,1285.8
755,68.2346,90.79,1214.7
756,68.3246,90,1213.8
757,68.41711,92.51,1347.7
758,68.50784,90.73,1244.5
759,68.59863,90.79,1284.1
760,68.68935,90.72,1280.6
761,68.78008,90.73,1276.9
762,68.87009,90,1219.7
763,68.96063,90.55,1295
764,69.05141,90.79,1282.8
765,69.14198,90.57,1324.3
766,69.2325,90.51,1181.5
767,69.32256,90.06,1188.7
768,69.41259,90.03,1219.6
769,69.50259,90,1210.6
770,69.5926,90.01,1274.7
771,69.68262,90.02,1352.8
772,69.77309,90.47,1232.3
773,69.86387,90.78,1270.3
774,69.95464,90.76,1340.3
775,70.04639,91.76,1208.5
776,70.13698,90.58,1639.6
777,70.22788,90.91,1305.6
778,70.31964,91.75,1307.1
779,70.41143,91.79,1223.8
780,70.50217,90.75,1205
781,70.59253,90.36,1318.2
782,70.68253,90,1253.8
783,70.77254,90,1290
784,70.86262,90.08,1257.3
785,70.95406,91.44,1288.9
786,71.0443,90.24,1216.6
787,71.13432,90.02,1273.4
788,71.22436,90.04,1368.1
789,71.31437,90,1234
790,71.40437,90,1347.2
791,71.49666,92.29,1301.5
792,71.58739,90.73,1269.9
793,71.67815,90.76,1300.2
794,71.76908,90.94,1300.9
795,71.85991,90.83,1204.3
796,71.95084,90.93,1242.4
797,72.04085,90,1199.2
798,72.1314,90.56,1298.8
799,72.22216,90.76,1310.9
800,72.31248,90.32,1227.6
801,72.4025,90.01,1194.2
802,72.49257,90.08,1255.7
803,72.58263,90.06,1286.6
804,72.67263,90,1212.5
805,72.76286,90.23,1262.3
806,72.85287,90,1243.2
807,72.94335,90.49,1235.7
808,73.03414,90.79,1226.6
809,73.12486,90.72,1282.2
810,73.21562,90.77,1234.6
811,73.30563,90,1208.3
812,73.39614,90.51,1257.4
813,73.48793,91.79,1244
814,73.57867,90.73,1273.3
815,73.67055,91.88,1271.7
816,73.76055,90.01,1344.1
817,73.85076,90.21,1398.7
818,73.94116,90.4,1231.4
819,74.03117,90.02,1247.2
820,74.1212,90.02,1264
821,74.21144,90.25,1216.9
822,74.3022,90.75,1417.9
823,74.39258,90.37,1222.1
824,74.48258,90.01,1219.3
825,74.57259,90,1280.7
826,74.66264,90.05,1263.7
827,74.75264,90,1196.5
828,74.84271,90.07,1313.8
829,74.93273,90.02,1215.1
830,75.02425,91.52,1278.1
831,75.11501,90.75,1443.1
832,75.20583,90.82,1265.2
833,75.29716,91.33,1214.2
834,75.38719,90.04,1217.5
835,75.47964,92.45,1230.3
836,75.57043,90.79,1318.7
837,75.66116,90.73,1236.5
838,75.75195,90.79,1226.4
839,75.84253,90.58,1336.9
840,75.93253,90,1248.2
841,76.02258,90.05,1246.8
842,76.11262,90.04,1247.5
843,76.20271,90.1,1320.8
844,76.29272,90,1216
845,76.38428,91.57,1273.9
846,76.47502,90.73,1240.4
847,76.56577,90.75,1238.1
848,76.65658,90.8,1234.7
849,76.74787,91.3,1283.5
850,76.83817,90.31,1293.9
851,76.92846,90.28,1202.4
852,77.01878,90.33,1248.3
853,77.10951,90.73,1211.9
854,77.20027,90.76,1281.9
855,77.29108,90.81,1226.4
856,77.38182,90.74,1283.3
857,77.47256,90.74,1213
858,77.56256,90,1252.4
859,77.65257,90.01,1192.4
860,77.74259,90.02,1245.1
861,77.83263,90.03,1285
862,77.92265,90.02,1253.5
863,78.01266,90.01,1207.6
864,78.10265,90,1428
865,78.19269,90.03,1315.1
866,78.28345,90.76,1275
867,78.37377,90.32,1357.7
868,78.46378,90,1215.8
869,78.554,90.23,1264.9
870,78.6451,91.1,1227.1
871,78.73583,90.73,1226.3
872,78.82656,90.73,1275.6
873,78.91656,90.01,1224.8
874,79.0081,91.54,1230.6
875,79.09884,90.73,1308.5
876,79.1889,90.06,2457.9
877,79.27889,90,2438.7
878,79.36907,90.18,1258.2
879,79.45916,90.09,1387
880,79.54992,90.76,1265.7
881,79.64024,90.33,1247.9
882,79.73026,90.02,1181.9
883,79.82076,90.5,1324.8
884,79.91155,90.79,1332.9
885,80.00227,90.72,1239.3
886,80.09257,90.3,1326.2
887,80.18257,90,1261.1
888,80.27258,90,1234.9
889,80.36258,90.01,1314.6
890,80.4526,90.02,1289.8
891,80.5426,90,1187.7
892,80.63264,90.05,1276.5
893,80.72266,90.02,1213
894,80.81266,90.01,1256.9
895,80.90312,90.46,1344.1
896,80.99313,90,1632.5
897,81.08367,90.54,1221.8
