SampleNumber,CTime,Duration,PowerData
515,46.51931,90.77,10292.43
516,46.61003,90.72,10758.14
517,46.70079,90.75,10934.21
518,46.79158,90.79,9738.03
519,46.88243,90.86,9608.27
520,46.97243,90,10137.77
521,47.06247,90.04,11041.7
522,47.15248,90.01,10368.4
523,47.24249,90,10354.44
524,47.3325,90.02,9660.18
525,47.42253,90.03,9720.7
526,47.51291,90.37,9795.39
527,47.6037,90.79,10032.4
528,47.69401,90.31,10377.61
529,47.78424,90.23,9782.77
530,47.87506,90.82,10068.84
531,47.96531,90.25,9981.14
532,48.05762,92.32,10924.09
533,48.14838,90.76,9508.44
534,48.23914,90.75,10781.37
535,48.32993,90.78,9924.06
536,48.42062,90.7,9874.42
537,48.51062,90,10309.43
538,48.60103,90.41,12287.67
539,48.6919,90.87,10468.34
540,48.78247,90.57,10067.15
541,48.87249,90.01,10210.92
542,48.96249,90,9543.86
543,49.0525,90.01,10336.99
544,49.14251,90.01,10321.77
545,49.23254,90.03,9926.16
546,49.32254,90,9574.7
547,49.41313,90.59,11537.68
548,49.50389,90.76,9827.44
549,49.59561,91.72,11750.04
550,49.68736,91.75,10988.41
551,49.77816,90.79,10502.29
552,49.8682,90.05,10926.27
553,49.95867,90.47,9701.46
554,50.05046,91.78,10765.68
555,50.14118,90.73,10482.48
556,50.23121,90.03,9566.91
557,50.32165,90.44,10680.28
558,50.41244,90.79,10442.71
559,50.50244,90,9799.53
560,50.59248,90.04,9883.64
561,50.68254,90.06,11760.49
562,50.77254,90,10419.25
563,50.86255,90,22107.83
564,50.95264,90.09,27557.71
565,51.04264,90,20247.3
566,51.13266,90.02,10124.58
567,51.22342,90.76,11561.76
568,51.31618,92.76,10875.4
569,51.40696,90.78,11147.32
570,51.49697,90.01,11083.67
571,51.58698,90.02,11791.73
572,51.67823,91.25,11335.25
573,51.76897,90.74,11257.68
574,51.85975,90.78,11162.87
575,51.9509,91.15,11223.03
576,52.04092,90.02,11882.29
577,52.1315,90.58,11199.14
578,52.22226,90.76,11571.32
579,52.31245,90.2,11082.34
580,52.40248,90.03,11074.6
581,52.49252,90.04,11873.59
582,52.58255,90.03,13340.47
583,52.67255,90,12219.18
584,52.76279,90.24,11106.36
585,52.85361,90.82,10801.13
586,52.94533,91.72,11310.19
587,53.03609,90.76,13311.77
588,53.12609,90.01,14789.94
589,53.21622,90.12,12592.39
590,53.307,90.78,12135.6
591,53.39876,91.76,11586.87
592,53.48946,90.7,11171.31
593,53.58024,90.78,11535.63
594,53.67097,90.73,11774.52
595,53.76097,90,12744.71
596,53.8514,90.42,11109.61
597,53.94155,90.15,12215.45
598,54.03189,90.34,14967.48
599,54.122,90.11,14445.65
600,54.21246,90.45,13807.7
601,54.3025,90.04,17531
602,54.39252,90.02,14144.27
603,54.48256,90.04,13090.27
604,54.57256,90,13856.38
605,54.66256,90,13570.09
606,54.75306,90.49,14878.38
607,54.84335,90.29,14374.82
608,54.93336,90.02,12981.94
609,55.02489,91.53,14355.61
610,55.11667,91.79,13997.75
611,55.20741,90.73,13805.33
612,55.29786,90.45,15180.9
613,55.38789,90.03,14208.93
614,55.47792,90.02,13191.01
615,55.56844,90.53,13702.58
616,55.65927,90.82,14283.6
617,55.75036,91.09,13896.23
618,55.84081,90.45,15644.13
619,55.93081,90,14006.43
620,56.02087,90.06,13922.3
621,56.11126,90.39,13738.88
622,56.20191,90.65,13480.78
623,56.29227,90.37,14464.86
624,56.3825,90.23,14616.16
625,56.4725,90,13496.35
626,56.56254,90.04,14109.05
627,56.6533,90.75,13882.7
628,56.74406,90.76,13878.5
629,56.83482,90.76,15625.6
630,56.92558,90.76,13366.34
631,57.0163,90.73,13469.4
632,57.10712,90.82,14577.33
633,57.19712,90,13670.52
634,57.28764,90.52,14302.93
635,57.37796,90.31,14149.84
636,57.46812,90.16,13487.96
637,57.55817,90.05,13792.83
638,57.64824,90.08,13850.76
639,57.73852,90.27,13473.48
640,57.82864,90.13,14444.9
641,57.91866,90.02,13824.65
642,58.00979,91.13,13236.21
643,58.10052,90.73,14233.35
644,58.19128,90.76,13437.79
645,58.28202,90.75,14191.08
646,58.37248,90.46,15908.88
647,58.46251,90.02,13902.91
